cID,PO,company,spend_area,sub_spend_area,vendor,vendor_name,item_cat,item_type,doc_type,gr_based_iv,gr_flag,item,po_date,bestellwert,auswahlgrund,lag_h,F1_weit,F1_strikt,F1_eng,F1_rausch,F1_cp_anderer_user,F2,F2_zahlung_vor_gr,F2_manuelle_entsperrung,zahlungsdauer_tage
4507003966_00010,4507003966,companyID_0000,CAPEX & SOCS,MRO (components),vendorID_0886,vendor_0846,"3-way match, invoice after GR",Service,Framework order,True,True,00010,2018-01-19 06:37:00,21289.0,scope,8069.616666666667,True,True,True,False,True,False,False,False,280.0
4508076155_00010,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,vendor_1788,2-way match,Limit,Framework order,False,False,00010,2018-07-18 09:04:00,1887.0,scope,,False,False,False,False,False,False,False,False,4.0
4507075969_00020,4507075969,companyID_0003,Real Estate,Real Estate - To Be Approved,vendorID_1691,vendor_1615,2-way match,Limit,Framework order,False,False,00020,2018-10-09 14:55:00,694.0,po_abschluss,,False,False,False,False,False,False,False,False,0.0
4508076155_00030,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,vendor_1788,2-way match,Limit,Framework order,False,False,00030,2018-07-18 09:04:00,1887.0,scope,,False,False,False,False,False,False,False,False,4.0
4507075975_00020,4507075975,companyID_0003,Enterprise Services,Insurances,vendorID_1697,vendor_1621,2-way match,Limit,Framework order,False,False,00020,2018-04-24 08:28:00,1314.0,scope,,False,False,False,False,False,False,False,False,2.0
4507075969_00040,4507075969,companyID_0003,Real Estate,Real Estate - To Be Approved,vendorID_1691,vendor_1615,2-way match,Limit,Framework order,False,False,00040,2018-10-31 09:09:00,719.0,po_abschluss,,False,False,False,False,False,False,False,False,6.0
4507075965_00250,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,vendor_1611,2-way match,Limit,Framework order,False,False,00250,2018-01-05 08:57:00,1901.0,scope,,False,False,False,False,False,False,False,False,4.0
4507075966_00010,4507075966,companyID_0003,Real Estate,Business park,vendorID_1688,vendor_1612,2-way match,Limit,Framework order,False,False,00010,2018-01-04 15:48:00,29229.0,scope,,False,False,False,False,False,False,False,False,0.0
4507075966_00020,4507075966,companyID_0003,Real Estate,Business park,vendorID_1688,vendor_1612,2-way match,Limit,Framework order,False,False,00020,2018-01-04 15:48:00,4261.0,scope,,False,False,False,False,False,False,False,False,0.0
4508076155_00040,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,vendor_1788,2-way match,Limit,Framework order,False,False,00040,2018-07-18 09:04:00,1887.0,scope,,False,False,False,False,False,False,False,False,4.0
4507001814_00010,4507001814,companyID_0000,CAPEX & SOCS,MRO (components),vendorID_0648,vendor_0624,"3-way match, invoice after GR",Service,Framework order,True,True,00010,2018-01-09 15:43:00,17320.0,scope,,False,False,False,False,False,False,False,False,167.0
4507075969_00010,4507075969,companyID_0003,Real Estate,Real Estate - To Be Approved,vendorID_1691,vendor_1615,2-way match,Limit,Framework order,False,False,00010,2018-02-09 09:14:00,694.0,scope,,False,False,False,False,False,False,False,False,5.0
4507075965_00010,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,vendor_1611,2-way match,Limit,Framework order,False,False,00010,2018-01-04 12:07:00,15349.0,scope,,False,False,False,False,False,False,False,False,46.0
4507075965_00020,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,vendor_1611,2-way match,Limit,Framework order,False,False,00020,2018-01-04 12:07:00,265.0,scope,,False,False,False,False,False,False,False,False,12.0
4507075968_00010,4507075968,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,vendor_1614,2-way match,Limit,Framework order,False,False,00010,2018-01-22 08:33:00,1290.0,scope,,False,False,False,False,False,False,False,False,1.0
4507000542_00030,4507000542,companyID_0000,Solvents,Aliphatic Solvents,vendorID_0256,vendor_0249,Consignment,Consignment,Standard PO,False,True,00030,2018-01-03 09:00:00,0.0,scope,,False,False,False,False,False,False,False,False,
4507000283_00010,4507000283,companyID_0000,Titanium Dioxides,Chloride,vendorID_0146,vendor_0143,Consignment,Consignment,Standard PO,False,True,00010,2018-01-02 11:08:00,0.0,scope,,False,False,False,False,False,False,False,False,
4507000284_00010,4507000284,companyID_0000,Titanium Dioxides,Chloride,vendorID_0146,vendor_0143,Consignment,Consignment,Standard PO,False,True,00010,2018-01-02 11:10:00,0.0,scope,,False,False,False,False,False,False,False,False,
4507000378_00010,4507000378,companyID_0000,Latex & Monomers,Pure Acrylics,vendorID_0183,vendor_0181,"3-way match, invoice after GR",Standard,Standard PO,True,True,00010,2018-01-02 13:34:00,37169.0,scope,,False,False,False,False,False,False,False,False,52.0
4507000379_00010,4507000379,companyID_0000,Latex & Monomers,Styrene Acrylics,vendorID_0184,vendor_0164,"3-way match, invoice before GR",Standard,Standard PO,False,True,00010,2018-01-02 13:40:00,40800.0,scope,,False,False,False,False,False,False,False,False,49.0
